TIRF Data File: Project 1320; Run 5
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none
0.000	0.18	2.26	-0.006	0.022	23.702	21.055	68.86	-65.37	-98.19	-1079.62	1.45	1.26	0.06	0.09	23.33	46.53	55.94	55.17	76.23	0.126
0.020	0.16	2.80	-0.006	0.022	23.706	14.739	68.65	-65.59	-98.18	-1079.49	1.62	1.41	0.06	0.09	25.88	46.52	55.91	55.17	76.19	0.608
0.040	0.16	3.16	-0.006	0.024	23.708	13.096	68.79	-63.79	-98.89	-1081.64	1.77	1.72	0.06	0.09	29.50	46.52	55.94	55.17	76.23	0.810
0.060	0.18	3.16	-0.002	0.025	23.705	15.448	68.72	-66.11	-99.58	-1079.25	1.76	1.18	0.06	0.09	27.87	46.50	55.88	55.14	76.21	0.534
0.080	0.17	3.16	-0.012	0.024	23.708	14.272	68.65	-63.03	-98.89	-1080.79	1.86	1.81	0.06	0.09	23.17	46.55	55.90	55.14	76.23	0.661
0.100	0.15	2.84	-0.006	0.024	23.708	14.102	68.65	-63.80	-98.20	-1079.49	1.61	1.72	0.06	0.09	25.71	46.52	55.87	55.13	76.21	0.681
0.120	0.16	2.73	-0.006	0.028	23.705	15.162	68.79	-65.58	-99.61	-1082.38	1.74	1.41	0.06	0.09	29.42	46.52	55.87	55.11	76.21	0.563
0.140	0.18	2.57	-0.003	0.027	23.703	18.492	68.79	-63.03	-99.60	-1080.20	1.48	1.81	0.06	0.09	28.48	46.52	55.85	55.15	76.22	0.282
0.160	0.17	2.49	-0.006	0.024	23.704	17.583	68.72	-64.31	-101.66	-1080.93	1.29	1.48	0.06	0.09	23.51	46.52	55.85	55.15	76.20	0.348
0.180	0.14	2.30	-0.008	0.025	23.703	16.385	68.79	-63.30	-102.38	-1080.47	0.73	1.69	0.06	0.09	24.82	46.53	55.80	55.11	76.23	0.447
0.200	0.15	2.22	-0.006	0.022	23.706	18.079	68.72	-62.00	-100.97	-1080.19	1.30	2.02	0.06	0.09	28.91	46.52	55.82	55.14	76.19	0.311
0.220	0.16	2.10	-0.003	0.027	23.703	20.266	68.72	-65.35	-100.30	-1081.79	1.38	1.26	0.06	0.09	29.48	46.55	55.80	55.14	76.23	0.170
0.240	0.16	2.10	-0.003	0.030	23.701	20.266	68.72	-62.48	-103.79	-1083.34	0.86	2.04	0.06	0.10	24.25	46.52	55.79	55.15	76.21	0.169
0.260	0.15	1.94	0.004	0.025	23.701	20.624	68.79	-64.05	-101.68	-1082.49	1.28	1.60	0.06	0.09	23.74	46.50	55.79	55.14	76.23	0.149
0.280	0.15	1.87	-0.003	0.031	23.702	20.825	68.79	-64.31	-103.11	-1082.76	0.69	1.47	0.06	0.10	28.24	46.52	55.82	55.18	76.22	0.138
0.300	0.17	1.79	0.000	0.027	23.705	25.888	68.79	-62.48	-103.08	-1082.61	0.88	2.04	0.06	0.10	30.03	46.50	55.76	55.17	76.21	-0.084
0.320	0.17	1.75	-0.003	0.025	23.703	25.759	68.72	-64.09	-103.07	-1081.19	0.72	1.33	0.06	0.10	24.86	46.50	55.79	55.17	76.23	-0.080
0.340	0.15	1.59	-0.005	0.030	23.708	25.181	68.65	-63.28	-103.80	-1081.90	0.68	1.69	0.06	0.10	23.17	46.52	55.77	55.17	76.19	-0.058
0.360	0.14	1.67	0.004	0.025	23.705	22.521	68.79	-63.54	-103.06	-1082.36	1.25	1.57	0.06	0.10	27.83	46.52	55.80	55.18	76.24	0.053
0.380	0.17	1.83	-0.008	0.025	23.707	23.980	68.79	-62.83	-103.76	-1082.49	0.97	1.40	0.06	0.10	30.23	46.50	55.80	55.18	76.20	-0.011
0.400	0.17	2.37	-0.006	0.025	23.705	18.973	68.79	-61.49	-103.06	-1082.10	1.60	2.00	0.06	0.10	25.25	46.47	55.80	55.23	76.22	0.249
0.420	0.16	2.84	-0.002	0.025	23.707	14.972	68.65	-62.83	-101.67	-1080.07	1.36	1.40	0.06	0.09	23.17	46.49	55.82	55.20	76.21	0.583
0.440	0.15	3.12	-0.008	0.027	23.705	12.467	68.72	-63.32	-103.07	-1082.24	1.42	1.43	0.06	0.10	27.77	46.49	55.80	55.20	76.22	0.901
0.460	0.17	3.12	-0.002	0.024	23.706	14.054	68.72	-61.26	-103.04	-1081.96	1.79	1.86	0.06	0.10	30.30	46.49	55.80	55.21	76.22	0.687
0.480	0.17	3.08	-0.008	0.025	23.707	15.037	68.72	-63.59	-103.06	-1080.08	1.16	1.31	0.06	0.10	25.39	46.50	55.83	55.20	76.20	0.577
0.500	0.16	2.84	-0.008	0.024	23.708	14.537	68.92	-62.29	-103.74	-1079.82	1.42	1.64	0.06	0.10	22.90	46.55	55.83	55.18	76.22	0.631
0.520	0.16	2.73	-0.009	0.024	23.710	15.616	68.72	-61.52	-103.04	-1080.52	1.60	1.74	0.06	0.10	27.53	46.55	55.82	55.18	76.18	0.518
0.540	0.17	2.53	-0.002	0.022	23.706	17.800	68.65	-63.58	-104.42	-1079.11	1.24	1.31	0.06	0.10	30.46	46.53	55.85	55.20	76.22	0.332
0.560	0.17	2.45	-0.003	0.021	23.710	18.368	68.72	-59.73	-105.10	-1080.26	1.67	2.04	0.06	0.10	26.26	46.59	55.88	55.21	76.18	0.291
0.580	0.15	2.30	-0.006	0.024	23.708	16.924	68.72	-61.04	-104.44	-1079.22	1.05	1.71	0.06	0.10	22.33	46.60	55.88	55.21	76.21	0.401
0.600	0.14	2.22	0.000	0.025	23.707	16.963	68.79	-62.05	-105.83	-1079.10	1.02	1.50	0.06	0.10	26.00	46.60	55.91	55.17	76.19	0.398
0.620	0.14	2.06	-0.005	0.024	23.708	18.250	68.79	-58.21	-105.83	-1081.23	1.29	2.23	0.05	0.10	29.70	46.62	55.96	55.20	76.18	0.299
0.640	0.17	1.98	0.000	0.028	23.709	22.089	68.86	-61.30	-104.46	-1081.26	1.47	1.59	0.06	0.10	29.18	46.62	55.98	55.20	76.20	0.073
0.660	0.15	2.06	-0.006	0.027	23.707	19.450	68.72	-61.02	-106.54	-1080.79	0.73	1.71	0.06	0.10	24.02	46.59	56.01	55.21	76.16	0.219
0.680	0.13	1.87	-0.006	0.024	23.708	18.835	68.72	-59.02	-105.15	-1082.33	0.95	1.87	0.05	0.10	22.62	46.63	56.01	55.20	76.19	0.259
0.700	0.13	1.79	-0.003	0.025	23.711	18.967	68.65	-60.83	-105.83	-1084.97	1.55	1.30	0.06	0.10	27.57	46.63	56.01	55.18	76.16	0.250
0.720	0.14	1.75	-0.006	0.025	23.707	20.806	68.65	-59.22	-106.53	-1085.80	1.36	2.01	0.05	0.10	30.52	46.65	56.04	55.23	76.18	0.139
0.740	0.14	1.71	0.001	0.031	23.706	22.006	68.72	-59.01	-106.58	-1084.51	0.97	1.87	0.05	0.10	28.18	46.66	56.05	55.23	76.15	0.077
0.760	0.13	1.67	-0.005	0.024	23.710	20.299	68.79	-59.00	-107.91	-1085.09	1.08	1.87	0.05	0.10	23.35	46.68	56.09	55.23	76.17	0.168
0.780	0.12	1.71	-0.002	0.025	23.709	18.387	68.72	-58.47	-107.24	-1083.77	0.81	2.10	0.05	0.10	23.27	46.66	56.09	55.21	76.17	0.289
0.800	0.12	1.79	0.004	0.030	23.710	17.583	68.72	-59.28	-106.57	-1082.22	0.89	1.75	0.05	0.10	28.08	46.66	56.12	55.23	76.15	0.348
0.820	0.14	2.37	-0.009	0.024	23.712	15.846	68.72	-58.74	-107.92	-1082.33	0.54	1.99	0.05	0.10	30.82	46.68	56.13	55.23	76.17	0.496
0.840	0.14	2.80	-0.006	0.025	23.713	12.974	68.79	-57.48	-107.23	-1083.51	1.16	2.06	0.05	0.10	27.46	46.68	56.15	55.21	76.14	0.828
0.860	0.13	3.04	-0.005	0.024	23.714	11.159	68.72	-58.99	-109.29	-1083.40	1.05	1.87	0.05	0.10	22.98	46.69	56.20	55.24	76.17	1.125
0.880	0.11	3.16	-0.003	0.027	23.713	9.568	68.72	-58.19	-109.32	-1084.23	0.94	2.23	0.05	0.10	24.29	46.63	56.21	55.23	76.13	1.478
0.900	0.13	2.96	-0.003	0.030	23.712	11.453	68.72	-57.48	-107.96	-1082.93	0.77	2.06	0.05	0.10	28.77	46.66	56.21	55.21	76.15	1.070
0.920	0.16	2.80	0.001	0.028	23.713	15.181	68.72	-59.74	-109.32	-1084.12	1.11	1.78	0.06	0.10	31.09	46.66	56.23	55.24	76.14	0.562
0.940	0.14	2.65	-0.005	0.028	23.713	14.208	68.72	-55.68	-110.73	-1081.47	0.19	2.36	0.05	0.10	26.28	46.63	56.24	55.24	76.14	0.669
0.960	0.12	2.53	-0.003	0.025	23.717	12.911	68.72	-58.77	-108.61	-1082.67	1.04	1.73	0.05	0.10	22.31	46.68	56.26	55.21	76.15	0.837
0.980	0.11	2.37	0.000	0.031	23.714	12.719	68.72	-56.22	-110.05	-1082.80	0.63	2.12	0.05	0.10	25.22	46.68	56.29	55.23	76.12	0.864
1.000	0.13	2.22	-0.008	0.030	23.714	15.289	68.79	-56.74	-109.34	-1082.66	0.92	1.89	0.05	0.10	29.34	46.66	56.29	55.27	76.15	0.551
1.020	0.15	2.14	0.000	0.025	23.715	18.161	68.65	-57.27	-110.00	-1084.69	1.29	1.65	0.05	0.10	31.23	46.66	56.29	55.24	76.12	0.306
1.040	0.13	2.10	-0.005	0.030	23.716	16.143	68.79	-55.71	-110.72	-1083.97	1.07	2.10	0.05	0.10	26.04	46.65	56.35	55.24	76.15	0.469
1.060	0.12	1.98	-0.002	0.021	23.720	16.474	68.86	-54.74	-109.28	-1082.51	1.14	2.05	0.05	0.10	22.17	46.65	56.34	55.26	76.12	0.440
1.080	0.12	1.94	-0.008	0.024	23.716	16.169	68.79	-55.77	-108.61	-1081.22	0.88	1.84	0.05	0.10	24.78	46.68	56.37	55.24	76.14	0.467
1.100	0.12	1.87	-0.005	0.027	23.721	16.846	68.86	-55.22	-110.01	-1083.83	1.36	2.08	0.05	0.10	29.07	46.69	56.35	55.23	76.14	0.408
1.120	0.14	1.79	-0.003	0.022	23.722	21.043	68.65	-54.50	-110.67	-1083.11	1.19	1.91	0.05	0.10	31.25	46.69	56.35	55.23	76.12	0.127
1.140	0.12	1.71	-0.003	0.024	23.717	19.111	68.65	-55.75	-109.98	-1085.87	1.82	1.84	0.05	0.10	27.16	46.72	56.37	55.20	76.15	0.241
1.160	0.11	1.63	-0.002	0.031	23.718	17.751	68.72	-54.01	-110.74	-1083.38	0.79	1.88	0.05	0.10	22.72	46.74	56.35	55.21	76.11	0.336
1.180	0.10	1.59	-0.002	0.021	23.720	17.410	68.79	-54.51	-109.98	-1084.80	1.13	1.90	0.05	0.10	23.31	46.74	56.35	55.21	76.15	0.362
1.200	0.10	1.55	-0.005	0.025	23.721	17.848	68.72	-52.72	-109.32	-1084.07	1.11	2.21	0.05	0.10	28.18	46.75	56.37	55.26	76.11	0.329
1.220	0.14	1.47	0.000	0.021	23.724	25.505	68.72	-53.24	-111.36	-1085.38	1.19	1.97	0.05	0.10	30.80	46.77	56.34	55.27	76.13	-0.070
1.240	0.14	1.44	-0.005	0.021	23.724	25.338	68.79	-52.48	-112.76	-1084.78	0.72	2.06	0.05	0.10	28.46	46.74	56.35	55.27	76.11	-0.064
1.260	0.11	1.44	-0.002	0.025	23.725	21.030	68.72	-50.92	-110.70	-1085.24	1.43	2.52	0.05	0.10	23.49	46.77	56.37	55.28	76.12	0.128
1.280	0.10	1.51	-0.005	0.025	23.723	17.492	68.65	-54.55	-109.32	-1082.65	0.93	1.64	0.05	0.10	22.35	46.77	56.37	55.30	76.14	0.356
1.300	0.10	2.02	-0.008	0.030	23.724	13.708	68.65	-52.23	-110.73	-1082.52	0.88	2.19	0.05	0.10	27.38	46.77	56.37	55.28	76.11	0.731
1.320	0.14	2.49	-0.002	0.025	23.725	14.603	68.72	-51.45	-112.09	-1080.81	0.88	2.28	0.05	0.10	30.42	46.75	56.39	55.30	76.14	0.625
1.340	0.14	2.73	-0.006	0.027	23.727	13.347	68.72	-54.26	-112.78	-1082.99	1.03	1.76	0.05	0.10	28.95	46.77	56.39	55.30	76.10	0.778
1.360	0.12	2.80	0.000	0.031	23.724	11.210	68.79	-52.43	-112.12	-1082.98	1.11	2.34	0.05	0.10	23.74	46.78	56.40	55.31	76.13	1.116
1.380	0.11	2.76	-0.003	0.025	23.729	10.921	68.72	-53.50	-112.07	-1081.29	1.32	1.86	0.05	0.10	22.29	46.77	56.42	55.30	76.11	1.173
1.400	0.11	2.69	-0.003	0.028	23.726	10.778	68.72	-54.75	-113.48	-1081.43	0.92	1.79	0.05	0.10	27.36	46.75	56.42	55.30	76.13	1.201
1.420	0.14	2.49	-0.006	0.024	23.725	14.603	68.72	-49.66	-112.77	-1080.54	1.13	2.59	0.05	0.10	30.36	46.75	56.40	55.33	76.12	0.625
1.440	0.14	2.37	-0.008	0.025	23.727	15.325	68.86	-54.79	-112.77	-1078.55	0.69	1.53	0.05	0.10	29.48	46.75	56.40	55.34	76.11	0.548
1.460	0.11	2.26	-0.006	0.027	23.729	13.380	68.72	-53.51	-112.09	-1078.67	0.60	1.86	0.05	0.10	24.10	46.77	56.43	55.31	76.14	0.773
1.480	0.11	2.22	-0.006	0.027	23.731	13.058	68.72	-51.22	-112.08	-1081.87	1.57	2.14	0.05	0.10	21.29	46.77	56.42	55.34	76.10	0.817
1.500	0.10	2.10	-0.002	0.027	23.729	12.020	68.79	-55.82	-112.78	-1080.00	0.86	1.32	0.05	0.10	26.18	46.75	56.46	55.33	76.14	0.974
1.520	0.13	1.94	-0.003	0.030	23.726	17.441	68.72	-50.19	-113.50	-1081.28	1.09	2.35	0.05	0.10	29.77	46.77	56.46	55.34	76.11	0.360
1.540	0.13	1.94	-0.002	0.024	23.727	18.078	68.72	-51.97	-114.15	-1080.56	0.93	2.05	0.05	0.11	31.44	46.78	56.42	55.31	76.13	0.312
