TIRF Data File: Project 1320; Run 115
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
27.080	40.10	495.16	-0.006	0.024	25.066	21.487	96.29	3282.55	-75.44	-1575.23	15.66	29.48	-2.08	0.05	38.75	65.37	79.18	77.52	80.01	0.167	0.201
27.100	40.14	494.97	-0.009	0.025	25.069	21.518	96.29	3278.62	-75.69	-1543.16	29.68	36.34	-2.12	0.05	38.73	65.37	79.21	77.58	79.99	0.165	0.199
27.120	40.22	494.61	-0.005	0.024	25.071	21.573	96.29	3207.45	-90.58	-1490.33	28.44	47.53	-2.15	0.06	38.77	65.37	79.24	77.58	80.02	0.162	0.196
27.140	40.22	494.54	-0.006	0.018	25.073	21.579	96.23	3151.17	-101.06	-1469.86	13.33	53.81	-2.14	0.07	38.81	65.39	79.31	77.55	79.97	0.162	0.196
27.160	40.18	494.65	-0.009	0.017	25.067	21.551	96.16	3171.39	-95.20	-1509.95	5.23	47.60	-2.10	0.06	38.85	65.41	79.34	77.60	80.02	0.163	0.198
27.180	40.17	494.93	-0.009	0.018	25.067	21.534	96.29	3225.93	-79.52	-1569.54	9.34	33.18	-2.06	0.05	38.91	65.47	79.43	77.68	79.99	0.164	0.198
27.200	40.18	494.85	-0.002	0.027	25.067	21.545	96.29	3284.94	-73.40	-1580.88	15.69	30.54	-2.08	0.05	39.01	65.50	79.51	77.76	80.01	0.163	0.198
27.220	40.18	494.50	-0.005	0.027	25.071	21.561	96.23	3294.24	-79.37	-1538.48	22.36	38.12	-2.14	0.05	39.07	65.55	79.59	77.84	80.00	0.163	0.197
27.240	40.18	494.03	-0.012	0.021	25.074	21.579	96.29	3231.64	-91.37	-1489.52	25.94	48.24	-2.17	0.06	39.15	65.55	79.61	77.81	79.98	0.162	0.196
27.260	40.20	493.83	-0.003	0.017	25.071	21.597	96.23	3177.98	-96.96	-1465.22	13.61	56.93	-2.17	0.07	39.19	65.56	79.64	77.81	80.01	0.161	0.195
27.280	40.21	493.95	-0.008	0.022	25.072	21.597	96.23	3181.73	-89.74	-1503.08	4.63	47.32	-2.12	0.06	39.25	65.56	79.67	77.84	79.98	0.161	0.195
27.300	40.22	494.11	-0.009	0.021	25.066	21.595	96.23	3227.96	-80.27	-1565.14	7.70	33.59	-2.06	0.05	39.48	65.68	79.72	77.91	80.03	0.161	0.195
27.320	40.22	494.26	-0.002	0.024	25.067	21.588	96.36	3277.93	-71.30	-1582.28	15.26	30.37	-2.07	0.05	39.38	65.66	79.78	78.00	79.98	0.161	0.195
27.340	40.23	494.03	-0.011	0.021	25.068	21.604	96.23	3276.02	-77.84	-1550.42	25.86	32.72	-2.11	0.05	39.42	65.71	79.81	78.04	80.01	0.160	0.195
27.360	40.25	493.79	-0.009	0.021	25.072	21.624	96.23	3227.53	-95.50	-1493.96	26.79	47.14	-2.16	0.06	39.44	65.71	79.79	78.01	79.99	0.159	0.193
27.380	40.24	493.75	-0.005	0.021	25.076	21.623	96.23	3160.29	-101.05	-1467.43	15.50	54.68	-2.15	0.07	39.50	65.66	79.84	77.98	80.01	0.160	0.194
27.400	40.23	494.07	-0.012	0.021	25.072	21.602	96.23	3151.27	-91.71	-1496.05	4.61	46.26	-2.11	0.06	39.52	65.69	79.86	77.98	80.00	0.161	0.195
27.420	40.22	494.50	-0.008	0.025	25.071	21.581	96.23	3223.98	-80.99	-1553.64	6.12	36.72	-2.08	0.05	39.52	65.75	79.86	78.02	79.98	0.162	0.196
27.440	40.23	494.73	-0.009	0.021	25.070	21.573	96.23	3286.61	-75.48	-1576.71	13.55	31.77	-2.08	0.05	39.62	65.78	79.91	78.10	80.01	0.162	0.196
27.460	40.27	494.50	-0.006	0.018	25.073	21.606	96.23	3276.41	-81.33	-1549.14	23.82	33.61	-2.11	0.05	39.64	65.81	79.89	78.14	79.97	0.160	0.195
27.480	40.31	494.15	-0.008	0.021	25.070	21.641	96.23	3212.60	-94.73	-1499.89	28.60	46.86	-2.14	0.06	39.56	65.79	79.91	78.15	80.01	0.158	0.193
27.500	40.30	494.03	-0.009	0.018	25.073	21.644	96.23	3147.78	-97.48	-1464.33	17.24	55.75	-2.15	0.07	39.70	65.81	79.92	78.15	79.98	0.158	0.192
27.520	40.29	494.18	-0.003	0.021	25.070	21.632	96.29	3141.60	-88.81	-1492.14	8.43	46.14	-2.11	0.06	39.64	65.82	79.95	78.14	80.00	0.159	0.193
27.540	40.31	494.50	-0.009	0.022	25.068	21.626	96.29	3215.82	-83.63	-1557.75	9.87	36.51	-2.06	0.05	39.62	65.88	79.98	78.17	79.99	0.159	0.193
27.560	40.32	494.50	-0.006	0.024	25.069	21.636	96.23	3274.04	-78.23	-1583.04	14.25	29.11	-2.07	0.05	39.52	65.91	80.03	78.24	80.01	0.159	0.193
27.580	40.33	493.99	0.000	0.024	25.075	21.660	96.23	3272.13	-82.78	-1555.47	22.40	34.88	-2.10	0.05	39.32	65.93	80.06	78.26	80.02	0.158	0.191
27.600	40.33	493.25	-0.012	0.021	25.072	21.693	96.36	3208.23	-94.09	-1497.96	25.96	49.32	-2.14	0.06	39.70	65.98	80.03	78.24	79.99	0.156	0.190
27.620	40.34	492.86	-0.003	0.024	25.073	21.715	96.29	3129.29	-98.16	-1463.84	17.99	53.40	-2.14	0.07	39.50	65.93	80.03	78.20	80.02	0.155	0.188
27.640	40.31	492.70	-0.008	0.022	25.074	21.705	96.29	3134.47	-92.99	-1487.19	5.97	49.81	-2.11	0.06	39.48	65.94	80.03	78.21	79.97	0.155	0.189
27.660	40.26	492.82	-0.011	0.021	25.072	21.677	96.23	3203.89	-83.63	-1549.75	6.97	38.31	-2.07	0.05	39.46	66.01	80.08	78.23	80.01	0.157	0.191
27.680	40.25	492.54	0.004	0.022	25.074	21.684	96.23	3264.90	-74.75	-1576.41	13.23	29.71	-2.07	0.05	39.42	66.01	80.13	78.30	79.99	0.156	0.190
27.700	40.24	491.88	-0.009	0.022	25.072	21.703	96.16	3271.20	-75.85	-1554.29	22.99	34.00	-2.10	0.05	39.34	66.06	80.14	78.30	80.00	0.155	0.189
27.720	40.22	491.21	-0.003	0.024	25.075	21.722	96.23	3210.66	-93.39	-1506.56	28.27	45.75	-2.13	0.06	39.34	66.06	80.16	78.31	80.01	0.154	0.188
27.740	40.23	490.55	-0.008	0.024	25.073	21.757	96.23	3144.42	-101.64	-1466.71	18.75	53.02	-2.14	0.07	39.34	66.04	80.13	78.27	79.99	0.152	0.186
27.760	40.22	490.43	-0.009	0.021	25.072	21.757	96.23	3138.52	-97.82	-1481.34	5.64	51.60	-2.12	0.07	38.95	65.98	80.13	78.27	80.02	0.152	0.186
27.780	40.21	490.43	-0.003	0.021	25.070	21.752	96.23	3186.03	-84.95	-1543.48	6.94	38.45	-2.06	0.06	39.17	66.01	80.17	78.27	79.98	0.153	0.186
27.800	40.20	490.28	-0.011	0.021	25.068	21.756	96.23	3249.89	-78.88	-1573.90	11.90	27.43	-2.06	0.05	39.11	66.09	80.16	78.33	80.02	0.152	0.186
27.820	40.22	489.81	-0.003	0.024	25.067	21.785	96.16	3283.48	-84.28	-1561.75	19.87	34.53	-2.10	0.05	39.13	66.10	80.25	78.36	79.99	0.151	0.185
27.840	40.22	489.10	-0.011	0.021	25.072	21.819	96.16	3217.65	-93.45	-1510.93	26.53	42.98	-2.13	0.06	39.07	66.10	80.22	78.34	80.01	0.149	0.183
27.860	40.22	488.44	-0.009	0.021	25.070	21.848	96.36	3145.88	-107.82	-1471.90	20.36	52.42	-2.14	0.07	39.03	66.07	80.22	78.30	79.99	0.147	0.181
27.880	40.22	488.13	-0.003	0.025	25.071	21.862	96.23	3133.99	-105.41	-1476.60	6.69	53.98	-2.12	0.07	39.03	66.03	80.17	78.29	79.99	0.147	0.180
27.900	40.20	488.17	-0.003	0.024	25.069	21.850	96.23	3164.89	-89.04	-1535.18	7.17	38.10	-2.06	0.06	38.99	66.07	80.20	78.29	80.01	0.147	0.181
27.920	40.21	488.05	-0.012	0.021	25.070	21.861	96.16	3242.62	-78.84	-1578.71	12.87	30.07	-2.05	0.05	39.28	66.13	80.25	78.37	79.98	0.147	0.181
27.940	40.22	487.42	-0.006	0.018	25.073	21.894	96.16	3282.14	-82.17	-1571.75	20.52	32.47	-2.09	0.05	39.03	66.10	80.28	78.42	80.01	0.145	0.179
27.960	40.26	486.52	-0.006	0.028	25.072	21.955	96.29	3222.78	-97.70	-1523.66	26.61	39.12	-2.12	0.06	39.09	66.16	80.30	78.40	79.98	0.142	0.176
27.980	40.26	485.82	-0.009	0.021	25.074	21.986	96.16	3151.90	-107.09	-1475.16	22.40	52.66	-2.14	0.07	39.09	66.13	80.27	78.36	80.01	0.140	0.174
28.000	40.25	485.23	-0.002	0.024	25.071	22.005	96.16	3120.64	-104.58	-1472.24	9.75	54.17	-2.12	0.07	39.13	66.12	80.24	78.30	79.99	0.139	0.173
28.020	40.24	484.92	-0.009	0.022	25.074	22.014	96.23	3152.97	-93.88	-1523.53	4.19	41.37	-2.07	0.06	39.27	66.10	80.27	78.34	79.99	0.139	0.172
28.040	40.23	484.61	-0.005	0.021	25.072	22.024	96.29	3241.03	-88.59	-1574.24	8.83	32.52	-2.06	0.06	39.28	66.17	80.30	78.37	80.00	0.138	0.172
28.060	40.25	483.79	-0.006	0.018	25.077	22.074	96.29	3293.21	-79.52	-1574.09	17.59	30.54	-2.09	0.05	39.34	66.16	80.35	78.40	79.99	0.136	0.169
28.080	40.28	482.58	-0.008	0.021	25.070	22.147	96.23	3264.03	-88.84	-1532.76	24.79	38.14	-2.13	0.06	39.46	66.17	80.31	78.42	80.02	0.132	0.165
28.100	40.26	481.40	-0.006	0.022	25.072	22.191	96.29	3200.86	-106.53	-1484.65	24.05	52.63	-2.16	0.07	39.58	66.17	80.30	78.34	79.99	0.130	0.163
28.120	40.21	480.58	-0.006	0.022	25.072	22.198	96.29	3154.57	-110.10	-1468.38	12.83	54.57	-2.15	0.07	39.62	66.15	80.25	78.27	80.02	0.129	0.163
28.140	40.18	480.00	-0.008	0.021	25.074	22.212	96.29	3161.72	-102.07	-1512.22	7.65	42.56	-2.09	0.07	39.52	66.13	80.19	78.24	79.98	0.129	0.162
28.160	40.18	479.49	-0.011	0.015	25.075	22.233	96.23	3237.87	-87.08	-1570.77	11.76	34.31	-2.06	0.06	39.54	66.15	80.27	78.27	80.01	0.128	0.161
28.180	40.15	478.83	-0.006	0.025	25.075	22.246	96.29	3297.87	-79.61	-1582.16	17.18	28.69	-2.08	0.05	39.95	66.23	80.25	78.27	80.00	0.127	0.160
28.200	40.13	477.85	-0.006	0.028	25.074	22.281	96.29	3290.10	-91.80	-1549.49	23.65	36.49	-2.12	0.06	39.85	66.19	80.25	78.29	79.99	0.125	0.158
28.220	40.14	476.71	-0.008	0.025	25.077	22.342	96.16	3214.05	-107.26	-1494.01	26.03	49.43	-2.15	0.07	39.85	66.15	80.19	78.21	80.01	0.122	0.155
28.240	40.13	476.05	-0.008	0.024	25.073	22.365	96.16	3148.01	-114.13	-1463.32	17.12	53.36	-2.15	0.08	39.97	66.12	80.08	78.17	79.97	0.121	0.154
28.260	40.12	475.78	-0.009	0.018	25.077	22.375	96.36	3164.34	-113.14	-1481.32	3.04	51.04	-2.14	0.08	39.99	66.07	80.03	78.13	80.02	0.121	0.153
28.280	40.10	475.66	-0.005	0.025	25.073	22.368	96.29	3219.42	-95.47	-1548.66	6.46	37.12	-2.08	0.06	39.85	66.09	79.98	78.13	79.98	0.121	0.154
28.300	40.11	475.35	-0.003	0.024	25.071	22.385	96.29	3275.17	-84.45	-1583.00	14.41	28.13	-2.07	0.05	40.01	66.12	79.95	78.11	80.01	0.120	0.153
28.320	40.11	474.57	-0.008	0.021	25.076	22.427	96.16	3297.37	-89.76	-1562.50	22.18	35.56	-2.11	0.06	39.95	66.12	79.97	78.14	79.99	0.118	0.151
28.340	40.11	473.63	-0.002	0.024	25.071	22.469	96.16	3232.94	-110.03	-1513.77	29.59	42.89	-2.14	0.07	39.93	66.07	79.91	78.07	80.00	0.116	0.149
28.360	40.11	472.69	-0.005	0.027	25.075	22.516	96.29	3173.28	-123.07	-1471.07	23.15	53.57	-2.16	0.08	39.85	66.01	79.83	78.01	80.00	0.114	0.146
28.380	40.12	472.18	-0.003	0.024	25.071	22.546	96.16	3172.59	-123.44	-1470.68	7.33	55.19	-2.16	0.08	39.82	66.00	79.73	77.92	79.98	0.112	0.145
28.400	40.14	471.71	-0.006	0.024	25.073	22.576	96.29	3211.44	-109.25	-1527.26	4.70	41.13	-2.10	0.07	39.78	65.97	79.70	77.94	80.01	0.111	0.143
28.420	40.17	471.09	-0.005	0.022	25.072	22.624	96.23	3272.59	-97.64	-1575.49	10.82	30.38	-2.08	0.06	39.74	66.00	79.70	77.94	79.98	0.108	0.141
28.440	40.20	470.07	-0.003	0.025	25.077	22.689	96.16	3311.21	-98.26	-1575.05	18.51	31.89	-2.10	0.06	39.72	65.97	79.68	77.94	80.02	0.105	0.137
28.460	40.22	468.70	-0.009	0.021	25.076	22.766	96.16	3273.11	-109.57	-1536.14	26.51	37.97	-2.13	0.07	39.62	65.96	79.64	77.88	79.98	0.101	0.134
28.480	40.19	467.53	-0.008	0.022	25.078	22.807	96.23	3214.83	-127.96	-1484.88	25.65	51.95	-2.17	0.09	39.76	65.90	79.51	77.81	80.01	0.100	0.132
28.500	40.19	466.71	-0.009	0.022	25.078	22.850	96.29	3185.87	-130.19	-1464.99	14.00	58.16	-2.17	0.09	39.62	65.82	79.46	77.71	79.99	0.097	0.129
28.520	40.20	466.16	-0.003	0.033	25.073	22.879	96.16	3196.24	-120.95	-1499.58	5.50	44.89	-2.13	0.08	39.58	65.79	79.40	77.63	79.99	0.096	0.128
28.540	40.23	465.69	-0.012	0.024	25.075	22.918	96.23	3254.44	-111.42	-1562.58	9.31	34.53	-2.08	0.07	39.62	65.81	79.39	77.63	80.01	0.094	0.126
28.560	40.27	464.91	-0.009	0.021	25.076	22.981	96.23	3307.31	-99.68	-1588.27	16.29	32.59	-2.08	0.06	39.52	65.78	79.35	77.62	79.98	0.091	0.123
28.580	40.30	463.86	-0.014	0.017	25.079	23.049	96.29	3295.15	-106.96	-1565.49	24.06	34.78	-2.10	0.07	39.48	65.75	79.32	77.59	80.01	0.088	0.120
28.600	40.30	462.68	-0.003	0.025	25.077	23.107	96.29	3239.51	-129.46	-1510.92	27.07	49.19	-2.14	0.09	39.50	65.72	79.21	77.52	79.99	0.085	0.117
28.620	40.31	461.82	-0.008	0.021	25.078	23.156	96.29	3173.51	-138.27	-1469.37	20.94	56.08	-2.16	0.09	39.68	65.62	79.10	77.39	80.01	0.083	0.115
28.640	40.30	461.39	-0.011	0.021	25.082	23.175	96.23	3171.95	-138.65	-1473.42	6.61	52.18	-2.15	0.09	39.40	65.58	78.99	77.30	79.99	0.082	0.114
28.660	40.30	461.08	-0.009	0.021	25.080	23.190	96.16	3223.34	-127.28	-1529.67	2.72	43.43	-2.11	0.08	39.36	65.58	78.96	77.27	80.00	0.081	0.113
28.680	40.31	460.53	-0.009	0.017	25.081	23.223	96.23	3259.96	-110.70	-1582.60	10.99	30.11	-2.06	0.07	39.27	65.53	78.91	77.27	80.01	0.080	0.111
28.700	40.36	459.64	-0.009	0.024	25.081	23.295	96.29	3277.92	-107.12	-1587.21	20.13	31.51	-2.07	0.07	39.21	65.49	78.82	77.26	79.99	0.077	0.108
28.720	40.37	458.50	-0.009	0.021	25.082	23.361	96.23	3246.23	-126.14	-1537.76	24.05	41.88	-2.11	0.08	39.23	65.41	78.72	77.15	80.01	0.074	0.105
28.740	40.38	457.56	0.004	0.022	25.084	23.412	96.29	3169.49	-142.36	-1486.21	25.23	50.60	-2.13	0.10	39.17	65.37	78.57	77.05	79.98	0.071	0.102
28.760	40.34	456.82	-0.009	0.021	25.084	23.428	96.29	3146.26	-147.34	-1462.65	13.85	58.38	-2.15	0.10	39.11	65.27	78.44	76.92	80.01	0.071	0.102
