TIRF Data File: Project 1320; Run 116
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR	SL
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none	SAE
26.800	40.12	509.27	0.005	0.021	24.515	20.904	55.44	3316.74	-190.04	-1534.13	37.39	38.71	-2.16	0.12	38.50	67.33	77.37	76.26	79.87	0.173	0.218
26.820	40.13	508.65	0.005	0.017	24.516	20.932	55.51	3256.95	-210.63	-1491.04	30.45	48.33	-2.18	0.14	38.48	67.36	77.42	76.26	79.85	0.171	0.217
26.840	40.13	508.10	0.004	0.021	24.515	20.957	55.44	3223.08	-214.37	-1482.90	16.57	45.73	-2.17	0.14	38.52	67.36	77.49	76.27	79.85	0.170	0.215
26.860	40.16	507.75	0.005	0.021	24.513	20.983	55.51	3239.75	-201.52	-1514.90	11.00	36.01	-2.14	0.13	38.46	67.45	77.61	76.31	79.87	0.168	0.214
26.880	40.16	507.36	0.008	0.017	24.516	21.002	55.44	3284.69	-183.52	-1554.85	19.90	24.93	-2.11	0.12	38.40	67.52	77.72	76.36	79.85	0.167	0.213
26.900	40.13	506.89	0.000	0.017	24.514	21.007	55.37	3339.91	-182.73	-1562.61	30.39	29.18	-2.14	0.12	38.48	67.55	77.79	76.43	79.88	0.167	0.212
26.920	40.13	506.14	0.005	0.021	24.513	21.038	55.44	3330.20	-196.97	-1530.01	37.55	40.28	-2.18	0.13	38.46	67.58	77.84	76.47	79.84	0.165	0.210
26.940	40.15	505.56	0.004	0.014	24.518	21.072	55.37	3273.55	-214.80	-1487.54	30.18	47.87	-2.20	0.14	38.44	67.64	77.92	76.44	79.87	0.164	0.208
26.960	40.16	505.28	0.004	0.014	24.518	21.088	55.44	3255.02	-215.10	-1481.58	15.77	48.18	-2.20	0.15	38.46	67.65	78.00	76.44	79.84	0.163	0.208
26.980	40.18	505.28	0.007	0.021	24.517	21.098	55.44	3265.20	-200.17	-1519.01	12.87	35.10	-2.15	0.13	38.48	67.71	78.05	76.47	79.86	0.162	0.207
27.000	40.22	505.32	0.004	0.021	24.509	21.116	55.51	3293.75	-181.50	-1556.36	20.19	25.79	-2.12	0.12	38.50	67.74	78.19	76.53	79.85	0.161	0.206
27.020	40.23	505.44	0.004	0.017	24.516	21.118	55.44	3310.12	-172.26	-1557.56	30.60	28.20	-2.13	0.11	38.36	67.80	78.24	76.58	79.84	0.161	0.206
27.040	40.23	505.60	0.008	0.017	24.516	21.112	55.37	3267.46	-181.53	-1526.03	38.50	36.90	-2.14	0.12	38.24	67.83	78.27	76.58	79.86	0.161	0.206
27.060	40.24	505.91	0.010	0.018	24.517	21.104	55.37	3218.92	-196.02	-1483.22	29.80	47.37	-2.17	0.13	38.66	67.90	78.33	76.59	79.83	0.162	0.207
27.080	40.22	506.61	0.004	0.021	24.515	21.062	55.51	3211.00	-204.03	-1480.47	14.01	46.99	-2.17	0.14	38.60	67.90	78.41	76.58	79.87	0.164	0.209
27.100	40.19	507.43	0.004	0.017	24.512	21.016	55.37	3228.70	-188.30	-1520.88	12.47	32.59	-2.12	0.12	38.81	67.99	78.46	76.60	79.82	0.166	0.212
27.120	40.15	508.10	0.004	0.012	24.517	20.966	55.44	3268.77	-172.36	-1555.31	21.13	25.22	-2.10	0.11	38.72	68.03	78.53	76.68	79.85	0.169	0.215
27.140	40.15	508.49	0.005	0.021	24.513	20.948	55.44	3281.74	-165.32	-1550.85	29.26	29.80	-2.12	0.11	38.77	68.06	78.63	76.73	79.83	0.170	0.216
