TIRF Data File: Project 1320; Run 36
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AMBTMP	SR
sec	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	N-m	N-m	none	none	deg C	deg C	deg C	deg C	deg F	none
0.000	0.16	1.71	-0.021	0.015	25.321	24.901	68.38	-27.10	0.94	-1081.10	-2.57	0.35	0.03	0.00	32.21	35.00	38.71	37.86	78.51	0.017
0.020	0.16	1.63	-0.021	0.012	25.325	25.336	68.45	-28.66	-0.42	-1082.56	-2.59	-0.10	0.03	0.00	31.62	34.98	38.69	37.92	78.47	0.000
0.040	0.16	1.55	-0.012	0.021	25.317	26.611	68.32	-29.37	0.21	-1082.67	-2.72	0.07	0.03	0.00	36.06	34.96	38.71	37.89	78.51	-0.049
0.060	0.17	1.55	-0.019	0.015	25.319	29.798	68.45	-28.90	2.32	-1080.78	-2.96	0.04	0.03	0.00	37.56	34.94	38.69	37.92	78.49	-0.150
0.080	0.17	1.44	-0.022	0.017	25.322	31.370	68.45	-29.16	0.23	-1081.50	-3.22	-0.08	0.03	0.00	32.31	34.96	38.71	37.99	78.51	-0.193
0.100	0.15	1.51	-0.021	0.014	25.319	26.481	68.52	-26.06	0.95	-1086.13	-1.94	0.56	0.02	0.00	31.21	34.94	38.71	37.92	78.49	-0.044
0.120	0.16	1.36	-0.022	0.021	25.317	30.443	68.45	-27.91	1.59	-1082.08	-2.76	-0.01	0.03	0.00	35.77	34.94	38.71	37.95	78.48	-0.168
0.140	0.17	1.40	-0.021	0.018	25.316	32.248	68.25	-28.61	0.23	-1084.24	-2.70	0.16	0.03	0.00	37.85	34.90	38.74	37.97	78.51	-0.215
0.160	0.17	1.59	-0.021	0.015	25.319	28.289	68.45	-27.59	0.94	-1084.24	-2.57	0.37	0.03	0.00	32.72	34.93	38.74	37.97	78.48	-0.105
0.180	0.16	2.14	-0.017	0.017	25.318	19.318	68.38	-30.19	1.62	-1081.51	-2.99	-0.29	0.03	0.00	30.87	34.94	38.73	38.01	78.52	0.311
0.200	0.15	2.57	-0.017	0.014	25.319	15.603	68.45	-26.56	-0.44	-1084.23	-2.79	0.58	0.02	0.00	35.53	34.97	38.77	38.04	78.48	0.623
0.220	0.16	2.73	-0.019	0.021	25.317	15.616	68.38	-29.65	1.60	-1082.81	-2.67	-0.05	0.03	0.00	37.83	34.96	38.73	38.02	78.50	0.621
0.240	0.18	2.76	-0.019	0.011	25.321	17.185	68.38	-30.90	-0.43	-1080.92	-3.56	-0.13	0.03	0.00	32.82	34.96	38.77	38.01	78.50	0.473
0.260	0.16	2.69	-0.024	0.015	25.319	15.383	68.38	-27.33	0.93	-1082.93	-2.92	0.49	0.03	0.00	30.99	34.97	38.79	38.04	78.50	0.646
